Inputs,,,,Outputs,,,,
Date,G,v,Ta,P_PV_TE,N_PV_TE,,,
dd/mm/yy,W/m2,m/s,K,W,%,,,
3/31/2019,644.2704,3.84,279.6,17.58776095,13.23229795,,,
4/1/2019,714.9532,4.36,277.36,19.45961145,13.32461136,,,
4/2/2019,670.2101,5.36,280.51,17.81267539,13.2293569,,,
4/3/2019,593.2869,3.2,285,16.30460793,13.16105762,,,
4/4/2019,663.7327,4.94,285.93,17.80313111,13.2341722,,,
4/5/2019,659.2583,2.37,284.42,18.61534185,13.30264723,,,
4/6/2019,663.7804,4.19,285.88,18.07195938,13.256896,,,
4/7/2019,687.8435,3.57,284.78,19.00624909,13.3109624,,,
4/8/2019,693.0343,3.85,283.91,19.04840073,13.31037807,,,
4/9/2019,713.4607,5.03,279.35,19.17642506,13.30524801,,,
4/10/2019,764.0672,4.17,277.71,20.95360117,13.39066812,,,
4/11/2019,772.9044,4.51,276.19,21.06237456,13.39219422,,,
4/12/2019,738.9238,4.06,276.22,20.26331463,13.36290964,,,
4/13/2019,724.1773,4.01,277.14,19.86048796,13.34589539,,,
4/14/2019,718.3534,5,278.8,19.32503088,13.31266973,,,
4/15/2019,785.3502,4.14,279.62,21.58987837,13.41558833,,,
4/16/2019,808.1932,4.8,280.82,21.97779165,13.42501938,,,
4/17/2019,797.6451,4.07,282.7,21.98724621,13.43054981,,,
4/18/2019,805.2745,4.1,285.24,22.20573535,13.43800032,,,
4/19/2019,822.2767,3.79,286.18,22.8231474,13.4595844,,,
4/20/2019,823.2321,3.06,285.13,23.15711957,13.47327206,,,
4/21/2019,833.5322,2.79,285.85,23.57011566,13.48554997,,,
4/22/2019,845.9396,6.73,284.8,22.29202059,13.42317044,,,
4/23/2019,812.6385,9.39,286.61,20.45152436,13.32822896,,,
4/24/2019,768.5102,6,288.82,20.43988889,13.35622505,,,
4/25/2019,855.5469,1.39,290.17,24.82090047,13.51641602,,,
4/26/2019,822.2348,2.39,290.16,23.44128212,13.48449279,,,
4/27/2019,857.0856,3.92,286,23.74545216,13.48435496,,,
4/28/2019,878.357,4.01,283.36,24.28204175,13.49654201,,,
4/29/2019,812.4535,5.35,283.88,21.89458432,13.41847871,,,
4/30/2019,903.1249,4.54,284.11,24.7354222,13.50401443,,,
5/1/2019,828.1005,5.8,285.8,22.16664474,13.42527879,,,
5/2/2019,856.6255,7.13,283.25,22.42050055,13.42474969,,,
5/3/2019,924.0831,5.51,281.3,24.87815746,13.50285461,,,
5/4/2019,928.4263,3.14,279.44,25.98552707,13.52780317,,,
5/5/2019,945.9717,3.01,280.33,26.50919128,13.53355353,,,
5/6/2019,932.1676,4.71,280.92,25.42147031,13.51580212,,,
5/7/2019,952.8116,3.2,281.72,26.61057364,13.53419641,,,
5/8/2019,898.4146,5.15,284.42,24.3558128,13.49313479,,,
5/9/2019,928.8428,2.65,286.08,26.23757569,13.53164324,,,
5/10/2019,927.9624,3.97,285.08,25.64100552,13.52144411,,,
5/11/2019,933.8886,2.88,283.19,26.259055,13.53140489,,,
5/12/2019,989.2635,5.31,283.95,26.66666141,13.53115222,,,
5/13/2019,1001.7991,4.25,282.95,27.42408667,13.53896685,,,
5/14/2019,996.6051,6.04,281.71,26.54282863,13.52812988,,,
5/15/2019,986.6594,5.92,282.05,26.34087923,13.52589633,,,
5/16/2019,949.7687,1.8,282.61,27.14560194,13.544842,,,
5/17/2019,979.228,2.68,287.1,27.54702941,13.540575,,,
5/18/2019,983.1348,4.06,290.26,27.06262085,13.53685619,,,
5/19/2019,954.0885,3.67,291.89,26.4845249,13.53246383,,,
5/20/2019,915.3856,3.83,291.19,25.39486341,13.51838453,,,
5/21/2019,964.8288,1.02,291.07,27.90364881,13.54801477,,,
5/22/2019,924.3709,6.78,286.26,24.40312854,13.48663032,,,
5/23/2019,1025.3789,2.78,286.88,28.65351868,13.54820459,,,
5/24/2019,981.3347,2.61,290.41,27.64461265,13.54094021,,,
5/25/2019,1019.5615,4.22,287.17,27.90466457,13.54131662,,,
5/26/2019,1006.929,5.54,289.35,27.04921428,13.53466943,,,
5/27/2019,996.7894,4.19,290.57,27.35767427,13.53872441,,,
5/28/2019,995.922,3.99,287.9,27.40817543,13.53916353,,,
5/29/2019,1053.824,3.47,285.88,29.05586442,13.54792835,,,
5/30/2019,1041.1418,3.23,289.06,28.85926452,13.54812249,,,
5/31/2019,970.5316,3.7,291.66,26.89738754,13.53606236,,,
6/1/2019,984.8884,2.97,294.43,27.59301993,13.54069194,,,
6/2/2019,991.4332,2.24,296.8,28.06879758,13.54795049,,,
6/3/2019,1020.2178,3.28,298.8,28.35973306,13.54809433,,,
6/4/2019,943.6723,0.59,297.39,27.561816,13.54755402,,,
6/5/2019,992.0295,4.47,299.78,27.16398509,13.5372834,,,
6/6/2019,955.3007,1.32,295.46,27.53770734,13.54708948,,,
6/7/2019,1006.2238,1.41,293.85,28.78900615,13.54745314,,,
6/8/2019,1061.8549,6.21,291.94,28.15542405,13.54139671,,,
6/9/2019,1054.3676,1.56,293.27,29.90521609,13.54176205,,,
6/10/2019,919.2667,1.74,295.46,26.41873727,13.5347825,,,
6/11/2019,887.0836,0.85,297.47,25.95538927,13.53197137,,,
6/12/2019,935.8475,1.42,297.72,26.99383501,13.54453053,,,
6/13/2019,1033.9828,1.57,294.05,29.40724271,13.54509056,,,
6/14/2019,1040.0841,3.06,297.33,28.93609985,13.54793698,,,
6/15/2019,890.3663,1.29,298.2,25.84802687,13.53020152,,,
6/16/2019,1017.9291,3.37,293.01,28.25396084,13.54216845,,,
6/17/2019,1010.6562,0.99,295.28,29.08582409,13.54604493,,,
6/18/2019,1044.4305,4.39,297.62,28.50134838,13.54263138,,,
6/19/2019,1006.7697,2.95,298.47,28.16058342,13.54788305,,,
6/20/2019,985.3292,2.46,296.14,27.81802888,13.54727221,,,
6/21/2019,1006.8874,2.73,293.93,28.23938535,13.54805909,,,
6/22/2019,1014.5976,4.2,293.9,27.81938809,13.54106459,,,
6/23/2019,1032.6304,4.54,295.05,28.1336935,13.54199994,,,
6/24/2019,1071.5725,3.93,296.51,29.33805604,13.54747185,,,
6/25/2019,1045.502,4.17,300.59,28.63379385,13.54258953,,,
6/26/2019,985.955,4.53,302.29,26.9970357,13.5359762,,,
6/27/2019,1066.5146,6.07,293.49,28.33393011,13.54216903,,,
6/28/2019,1059.5173,2.81,292.71,29.49722543,13.54601737,,,
6/29/2019,1049.68,1.24,297.73,29.94076502,13.54085722,,,
6/30/2019,1052.7996,4.04,301.66,28.87342978,13.54230675,,,
7/1/2019,1017.6474,4.97,296.26,27.58775055,13.5394822,,,
7/2/2019,1052.7752,6.69,291.66,27.74094863,13.53865316,,,
7/3/2019,1062.7699,5.05,289.93,28.6399756,13.54287555,,,
7/4/2019,1052.5572,4.62,291.13,28.57475867,13.54273017,,,
7/5/2019,997.7625,5.79,291.75,26.73028786,13.53113547,,,
7/6/2019,1013.8614,4.82,292.4,27.53488377,13.53924714,,,
7/7/2019,1044.9895,6.27,288.73,27.69930124,13.53877941,,,
7/8/2019,1041.7959,5.69,288.26,27.85219232,13.54023662,,,
7/9/2019,1036.6405,4.89,288.97,28.05774984,13.54162189,,,
7/10/2019,1027.3839,4.65,290.07,27.93286696,13.54127163,,,
7/11/2019,1008.7898,1.51,293,28.80732565,13.54746803,,,
7/12/2019,962.804,1.57,291.11,27.60967445,13.54714464,,,
7/13/2019,947.6651,3.27,293.59,26.4945292,13.53324656,,,
7/14/2019,946.264,3.56,291.62,26.32565325,13.53103829,,,
7/15/2019,964.5775,4.18,290.93,26.53743424,13.53208786,,,
7/16/2019,1004.9549,5.68,290.76,26.9505605,13.533556,,,
7/17/2019,988.169,2.31,292.35,27.94115877,13.54766091,,,
7/18/2019,966.7329,1.68,295.27,27.67519853,13.54729653,,,
7/19/2019,907.2142,3.25,295.85,25.44161993,13.52081607,,,
7/20/2019,918.3897,1.8,296.45,26.37170112,13.5343293,,,
7/21/2019,946.1565,4.21,295,26.06559828,13.52683265,,,
7/22/2019,918.6116,2.66,294.45,25.99285527,13.52919058,,,
7/23/2019,947.9061,2.69,297.67,26.76720089,13.53637457,,,
7/24/2019,979.6253,1.89,299.42,27.92733276,13.54782395,,,
7/25/2019,919.1112,3.04,300.42,25.8672973,13.52709127,,,
7/26/2019,953.4763,5.17,298.71,25.88406287,13.52223229,,,
7/27/2019,867.2829,5.87,297.22,23.29338721,13.46237744,,,
7/28/2019,853.5338,4.36,297.77,23.52326428,13.47708207,,,
7/29/2019,838.7201,1.47,298.02,24.34047549,13.508228,,,
